"","Travel","pMSM","non-pMSM"
"1",0.0111317254174397,0.903525046382189,0.0853432282003711
"2",0.325,0.425,0.25
"3",0.418604651162791,0.255813953488372,0.325581395348837
"4",0.41340782122905,0.199720670391061,0.386871508379888
"5",0.235294117647059,0.117647058823529,0.647058823529412
"6",0.364583333333333,0.158854166666667,0.4765625
"7",0.26978417266187,0.120503597122302,0.609712230215827
"8",0.299065420560748,0.38785046728972,0.313084112149533
"9",0.328296703296703,0.315934065934066,0.355769230769231
"10",0.412698412698413,0.285714285714286,0.301587301587302
