"","Az","CIPRO","ESBL"
"6",0.933333333333333,1,0.0166666666666667
"5",0.975609756097561,1,0
"4",0.987951807228916,1,0
"3",1,1,0.0454545454545455
"2",0.950413223140496,1,0.0991735537190083
"1",1,1,1
